time,Infection rate,Recovery Rate,Standard_Deviation,Skewness,Kurtosis,Remaining Time
1,0,0,0.447213595,-2.236067977,5.0,116.74414285714288
4,1,0,0.447213595,-2.236067977,5.0,135.63
5,1,0,0.447213595,-2.236067977,5.0,132.84
6,1,0,0.447213595,-2.236067977,5.0,133.67
7,1,0,0.447213595,-2.236067977,5.0,6.8
8,0,0,0.7071067809999999,2.62e-15,2.0,73.075
9,1,0,0.447213595,2.236067977,5.0,70.105
10,1,0,0.5477225579999999,0.6085806189999999,-3.333333333,115.37733333333334
11,1,0,0.5477225579999999,0.6085806189999999,-3.333333333,99.24
12,2,1,0.5477225579999999,-0.6085806189999999,-3.333333333,132.649
13,1,1,0.5477225579999999,-0.6085806189999999,-3.333333333,134.18
14,2,1,0.447213595,-2.236067977,5.0,74.82
15,1,1,0.447213595,-2.236067977,5.0,106.96833333333332
16,2,1,0.447213595,2.236067977,5.0,107.75333333333332
17,2,1,0.5477225579999999,0.6085806189999999,-3.333333333,87.85166666666667
18,2,1,0.5477225579999999,-0.6085806189999999,-3.333333333,79.74
19,2,1,0.7071067809999999,-1.05e-14,2.0,124.01
20,3,2,0.8944271909999999,1.257788237,0.3125,131.43
21,3,2,1.673320053,1.0885117690000001,0.535714286,129.76
22,3,1,2.408318916,0.60136382,-0.94530321,140.55
23,4,2,2.28035085,-0.227697755,-2.50739645,127.9
24,5,2,2.0,-0.9375,-0.1875,101.62
25,7,2,1.095445115,-1.2932338159999999,2.916666667,112.35
26,9,3,0.447213595,2.236067977,5.0,122.1
27,9,3,0.8944271909999999,1.257788237,0.3125,128.225
28,10,3,1.303840481,0.5413870510000001,-1.4878892730000002,125.12
29,9,2,1.516575089,-0.315355879,-3.0812854439999997,132.22
30,9,4,1.516575089,-1.118079933,1.45557656,130.21
31,11,4,2.34520788,1.7443694969999999,3.32231405,125.42
32,12,4,2.073644135,1.917756339,3.8777717689999998,120.68
33,12,6,3.033150178,0.76330457,-1.84073724,120.49
34,13,7,4.242640687,0.523782801,-0.962962963,117.8
35,17,8,4.774934555,-0.205752797,-1.117266851,119.27
36,13,9,5.54977477,-0.9266785329999999,0.12987013,115.12
37,19,8,5.176871642,0.5016571989999999,0.795277345,113.66
38,23,8,4.878524367,0.263545734,-2.661888285,116.0
39,25,9,3.962322551,-0.607634356,-2.3380258830000002,121.88
40,27,12,5.412947441,0.7906715390000001,2.021805729,111.99
41,33,10,4.722287581000001,0.5327280529999999,-3.041082668,112.69
42,34,11,7.155417527999999,0.45938750100000003,-0.521774292,111.3
43,32,10,10.53565375,0.43182413299999994,0.131239347,106.33
44,42,14,13.07669683,0.766955134,-0.810608392,105.46
45,41,16,12.25969005,-0.3636647,-1.066675697,103.8
46,50,17,8.105553652000001,-0.080370323,0.56427792,123.62
47,60,21,12.30853363,1.392953462,1.634022808,112.82
48,72,23,16.08726204,0.391052141,-2.135820658,107.92
49,65,23,20.65913841,-0.232542307,-2.410941169,113.72
50,59,25,22.11786608,-1.056482118,1.335515993,109.98
51,89,31,12.13260071,-0.44195737700000004,-1.8619207080000002,87.3
52,97,33,11.01362792,-0.449566691,-0.10278183099999999,82.56
53,107,39,10.66302021,-0.35401284200000005,-0.27571051,82.95
54,117,44,10.15874008,-1.025675779,2.367664954,82.25
55,116,44,17.66352173,0.5189603070000001,0.912721893,81.84
56,126,43,21.02855202,-0.33518210800000003,-1.6366698640000001,76.14
57,98,44,29.652993100000003,-0.132876289,-1.207312911,76.84
58,114,70,30.29356367,-0.042092914,-0.205126786,73.2
59,146,64,38.63547593,0.98346011,0.29605131,69.81
60,147,81,33.70163201,0.599989859,1.253897665,73.55
61,173,84,92.19815616,-1.8262338059999998,3.805496925,69.61
62,194,115,115.2184881,-0.47357567,-3.089368491,71.73
63,239,114,118.5381795,0.708842698,-2.750820178,
64,189,102,84.52336955,2.236067977,5.0,
