Index,Remaining Time
0,44.71833333
1,77.58511905
2,34.8
3,106.9616667
4,121.37
5,132.81
6,6.8
7,8.32
8,9.86
9,131.05
10,129.6425
11,124.64
12,118.97
13,103.63
14,100.0233333
15,91.98
16,74.63
17,103.935
18,80.03
19,90.76
20,79.84166667
21,109.46
22,88.17
23,93.63333333
24,106.99
25,126.95
26,125.312
27,108.64
28,110.34
29,108.07
30,81.97
31,92.47
32,117.87
33,126.78
34,131.83
35,131.3
36,131.45
37,129.01
38,124.36
39,121.55
40,129.03
41,125.54
42,130.98
43,123.42
44,121.52
45,120.57
46,112.95
47,110.7
48,113.75
49,106.77
50,107.04
51,138.65
52,110.89
53,78.92
54,75.9
55,98.82
56,103.2
57,107.21
58,96.77
59,93
60,91.64
61,78.23
62,79.56
63,63.61
64,78.56
65,79.06
66,81.45
67,65.46
68,68.2
69,71.08
70,64.55
71,68.77
72,79.51
73,61.8
74,65.61
75,62.13
76,59.21
77,55.16
78,56.35
79,57.05
80,49.31
81,53.54
82,51.91
83,53.87
84,54.35
85,53.31
86,43.7
87,51.21
88,45.84
89,57.11
90,51.65
91,44.87
92,41.94
93,42.04
94,43.51
95,52.43
96,49.03
97,52.31
98,54.76
99,53.94
100,39.41
101,54.22
102,51.68
103,49.96
104,53.39
105,55.1
106,45.79
107,47.59
108,49.28
109,48.12
110,43.29
111,46.9
112,45.9
113,41.85
114,40.43
115,42.59
116,39.82
117,39.51
118,44.27
119,37.21
120,39.86
121,29.64
122,44.7
123,42.62
124,35.78
125,33.93
126,35.16
127,35.6
128,29.97
129,37.49
130,38.87
131,33.72
132,32.46
133,29.84
134,29.38
135,21.95
136,36.56
137,32.4
138,24.74
139,26.16
140,28.17
141,28.9
142,24.59
143,32.23
144,28.82
145,24.66
146,27.21
147,28.37
148,25.32
149,24.59
150,33.39
151,31.82
152,24.99
153,23.69
154,23.15
155,23.64
156,19.87
157,28.38
158,23.55
159,26.33
160,19.11
161,18.55
162,21.02
163,15.83
164,18.02
165,22.74
166,21.19
167,20.42
168,17.07
169,15.25
170,21.51
171,22.93
172,28.6
173,18.97
174,18.41
175,16.32
176,16.87
177,17.41
178,17.11
179,14.32
180,19.85
181,18.34
182,22.81
183,22.36
184,16.66
185,21.11333333
186,21.11333333
187,18.85
188,18.87
189,18.85
190,19.84
191,18.05
192,39.32333333
193,37.95333333
194,25.91
195,25.91
196,19.48
197,19.48
198,16.78
199,18.78333333
200,41.31
201,20.7
202,28.06
203,22.52
204,18.09
205,19.94
206,21.42
207,18.76333333
208,11.21333333
209,11.21333333
210,8.583333333
211,18.76333333
212,20.18
213,23.9
214,16.27
215,21.97
